getClassLoad,是否需要,如需要，请补充理由,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPreDestroyed(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPrePaused(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPreResumed(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPreSaveInstanceState(Landroid/app/Activity;Landroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPreStarted(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPreStopped(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/ApplicationPackageManager;->getPackageCurrentVolume(Landroid/content/pm/ApplicationInfo;)Landroid/os/storage/VolumeInfo;,,,,,,,,,,,,,,,,,,,
Landroid/app/ApplicationPackageManager;->setInstantAppCookie([B)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/AppOpsManager;->_NUM_OP:I,,,,,,,,,,,,,,,,,,,
Landroid/app/AppOpsManager;->OP_NONE:I,,,,,,,,,,,,,,,,,,,
Landroid/app/AppOpsManager;->opToName(I)Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/AppOpsManager;->opToPermission(I)Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/AppOpsManager;->resetAllModes()V,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/BackupDataOutput;->mBackupWriter:J,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/FullBackup;->backupToTar(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Landroid/app/backup/FullBackupDataOutput;)I,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/FullBackupDataOutput;->addSize(J)V,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->acknowledgeFullBackupOrRestore(IZLjava/lang/String;Ljava/lang/String;Landroid/app/backup/IFullBackupRestoreObserver;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->clearBackupData(Ljava/lang/String;Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->isBackupEnabled()Z,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->isBackupServiceActive(I)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->listAllTransports()[Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->selectBackupTransport(Ljava/lang/String;)Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->setAutoRestore(Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/backup/IBackupManager;->setBackupEnabled(Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/ContextImpl;->createActivityContext(Landroid/app/ActivityThread;Landroid/app/LoadedApk;Landroid/content/pm/ActivityInfo;Landroid/os/IBinder;ILandroid/content/res/Configuration;)Landroid/app/ContextImpl;,,,,,,,,,,,,,,,,,,,
Landroid/app/DialogFragment;->mBackStackId:I,,,,,,,,,,,,,,,,,,,
Landroid/app/DialogFragment;->mViewDestroyed:Z,,,,,,,,,,,,,,,,,,,
Landroid/app/DownloadManager;->getWhereArgsForIds([J)[Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/DownloadManager;->getWhereClauseForIds([J)Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/DownloadManager;->UNDERLYING_COLUMNS:[Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/FragmentController;->mHost:Landroid/app/FragmentHostCallback;,,,,,,,,,,,,,,,,,,,
Landroid/app/Fragment;->mAdded:Z,,,,,,,,,,,,,,,,,,,
Landroid/app/FragmentManagerImpl;->loadAnimator(Landroid/app/Fragment;IZI)Landroid/animation/Animator;,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager$Stub$Proxy;->setActivityController(Landroid/app/IActivityController;Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager$Stub$Proxy;->updatePersistentConfiguration(Landroid/content/res/Configuration;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager$Stub;->asInterface(Landroid/os/IBinder;)Landroid/app/IActivityManager;,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->finishHeavyWeightApp()V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->getTaskBounds(I)Landroid/graphics/Rect;,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->hang(Landroid/os/IBinder;Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->isInLockTaskMode()Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->isTopOfTask(Landroid/os/IBinder;)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->killAllBackgroundProcesses()V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->profileControl(Ljava/lang/String;IZLandroid/app/ProfilerInfo;I)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->removeContentProviderExternal(Ljava/lang/String;Landroid/os/IBinder;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->resizeTask(ILandroid/graphics/Rect;I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->restart()V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->sendIdleJobTrigger()V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->setActivityController(Landroid/app/IActivityController;Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->setDebugApp(Ljava/lang/String;ZZ)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->setDumpHeapDebugLimit(Ljava/lang/String;IJLjava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->setPackageScreenCompatMode(Ljava/lang/String;I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->setProcessMemoryTrimLevel(Ljava/lang/String;II)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->startBinderTracking()Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->startInstrumentation(Landroid/content/ComponentName;Ljava/lang/String;ILandroid/os/Bundle;Landroid/app/IInstrumentationWatcher;Landroid/app/IUiAutomationConnection;ILjava/lang/String;)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->stopBinderTrackingAndDump(Landroid/os/ParcelFileDescriptor;)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->stopUser(IZLandroid/app/IStopUserCallback;)I,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->suppressResizeConfigChanges(Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->unhandledBack()V,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->unlockUser(I[B[BLandroid/os/IProgressListener;)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IActivityManager;->updateConfiguration(Landroid/content/res/Configuration;)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IAlarmManager;->getNextAlarmClock(I)Landroid/app/AlarmManager$AlarmClockInfo;,,,,,,,,,,,,,,,,,,,
Landroid/app/IAlarmManager;->set(Ljava/lang/String;IJJJILandroid/app/PendingIntent;Landroid/app/IAlarmListener;Ljava/lang/String;Landroid/os/WorkSource;Landroid/app/AlarmManager$AlarmClockInfo;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IAlarmManager;->setTime(J)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/IAppTask;->getTaskInfo()Landroid/app/ActivityManager$RecentTaskInfo;,,,,,,,,,,,,,,,,,,,
Landroid/app/IAssistDataReceiver;->onHandleAssistData(Landroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IAssistDataReceiver;->onHandleAssistScreenshot(Landroid/graphics/Bitmap;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IInstrumentationWatcher$Stub;-><init>()V,,,,,,,,,,,,,,,,,,,
Landroid/app/INotificationManager$Stub;->TRANSACTION_enqueueNotificationWithTag:I,,,,,,,,,,,,,,,,,,,
Landroid/app/INotificationManager;->getHistoricalNotifications(Ljava/lang/String;IZ)[Landroid/service/notification/StatusBarNotification;,,,,,,,,,,,,,,,,,,,
Landroid/app/Instrumentation;->callActivityOnNewIntent(Landroid/app/Activity;Lcom/android/internal/content/ReferrerIntent;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Instrumentation;->execStartActivitiesAsUser(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Landroid/app/Activity;[Landroid/content/Intent;Landroid/os/Bundle;I)I,,,,,,,,,,,,,,,,,,,
Landroid/app/Instrumentation;->execStartActivityAsCaller(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Landroid/app/Activity;Landroid/content/Intent;ILandroid/os/Bundle;Landroid/os/IBinder;ZI)Landroid/app/Instrumentation$ActivityResult;,,,,,,,,,,,,,,,,,,,
Landroid/app/Instrumentation;->execStartActivityFromAppTask(Landroid/content/Context;Landroid/os/IBinder;Landroid/app/IAppTask;Landroid/content/Intent;Landroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IStopUserCallback;->userStopped(I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/ITransientNotification;->show(Landroid/os/IBinder;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/IWallpaperManager;->getWallpaperInfo(I)Landroid/app/WallpaperInfo;,,,,,,,,,,,,,,,,,,,
Landroid/app/job/JobInfo$Builder;->setFlags(I)Landroid/app/job/JobInfo$Builder;,,,,,,,,,,,,,,,,,,,
Landroid/app/job/JobInfo$Builder;->setPriority(I)Landroid/app/job/JobInfo$Builder;,,,,,,,,,,,,,,,,,,,
Landroid/app/job/JobInfo;->FLAG_WILL_BE_FOREGROUND:I,,,,,,,,,,,,,,,,,,,
Landroid/app/job/JobInfo;->PRIORITY_FOREGROUND_APP:I,,,,,,,,,,,,,,,,,,,
Landroid/app/job/JobInfo;->PRIORITY_FOREGROUND_SERVICE:I,,,,,,,,,,,,,,,,,,,
Landroid/app/KeyguardManager;->isDeviceSecure(I)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/LoadedApk$ServiceDispatcher;->getIServiceConnection()Landroid/app/IServiceConnection;,,,,,,,,,,,,,,,,,,,
Landroid/app/LoadedApk$ServiceDispatcher;-><init>(Landroid/content/ServiceConnection;Landroid/content/Context;Landroid/os/Handler;I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/LoadedApk$ServiceDispatcher;->mConnection:Landroid/content/ServiceConnection;,,,,,,,,,,,,,,,,,,,
Landroid/app/LoadedApk;->getCompatibilityInfo()Landroid/content/res/CompatibilityInfo;,,,,,,,,,,,,,,,,,,,
Landroid/app/LoadedApk;->lookupServiceDispatcher(Landroid/content/ServiceConnection;Landroid/content/Context;)Landroid/app/IServiceConnection;,,,,,,,,,,,,,,,,,,,
Landroid/app/LoadedApk;->mLibDir:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/NativeActivity;->hideIme(I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/NativeActivity;->loadNativeCode(Ljava/lang/String;Ljava/lang/String;Landroid/os/MessageQueue;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ILandroid/content/res/AssetManager;[BLjava/lang/ClassLoader;Ljava/lang/String;)J,,,,,,,,,,,,,,,,,,,
Landroid/app/NativeActivity;->mNativeHandle:J,,,,,,,,,,,,,,,,,,,
Landroid/app/NativeActivity;->setWindowFlags(II)V,,,,,,,,,,,,,,,,,,,
Landroid/app/NativeActivity;->setWindowFormat(I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/NativeActivity;->showIme(I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Notification$Builder;->loadHeaderAppName()Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/NotificationManager;->getZenModeConfig()Landroid/service/notification/ZenModeConfig;,,,,,,,,,,,,,,,,,,,
Landroid/app/PackageDeleteObserver;-><init>()V,,,,,,,,,,,,,,,,,,,
Landroid/app/PendingIntent;->setOnMarshaledListener(Landroid/app/PendingIntent$OnMarshaledListener;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Presentation;->createPresentationContext(Landroid/content/Context;Landroid/view/Display;I)Landroid/content/Context;,,,,,,,,,,,,,,,,,,,
Landroid/app/QueuedWork;->queue(Ljava/lang/Runnable;Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/SearchManager;->isVisible()Z,,,,,,,,,,,,,,,,,,,
Landroid/app/servertransaction/ActivityResultItem;->mResultInfoList:Ljava/util/List;,,,,,,,,,,,,,,,,,,,
Landroid/app/servertransaction/NewIntentItem;->mIntents:Ljava/util/List;,,,,,,,,,,,,,,,,,,,
Landroid/app/SharedPreferencesImpl;->startLoadFromDisk()V,,,,,,,,,,,,,,,,,,,
Landroid/app/StatusBarManager;->DISABLE_NOTIFICATION_TICKER:I,,,,,,,,,,,,,,,,,,,
Landroid/app/StatusBarManager;->expandSettingsPanel(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/StatusBarManager;->removeIcon(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/StatusBarManager;->setIcon(Ljava/lang/String;IILjava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/StatusBarManager;->setIconVisibility(Ljava/lang/String;Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskInfo;->userId:I,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityDismissingDockedStack()V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityForcedResizable(Ljava/lang/String;II)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityLaunchOnSecondaryDisplayFailed()V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityLaunchOnSecondaryDisplayRerouted(Landroid/app/ActivityManager$RunningTaskInfo;I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityPinned(Ljava/lang/String;III)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityRequestedOrientationChanged(II)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityRestartAttempt(Landroid/app/ActivityManager$RunningTaskInfo;ZZZ)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onActivityUnpinned()V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onSizeCompatModeActivityChanged(ILandroid/os/IBinder;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onTaskMovedToFront(I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onTaskProfileLocked(II)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onTaskRemoved(I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onTaskSnapshotChanged(ILandroid/app/ActivityManager$TaskSnapshot;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/TaskStackListener;->onTaskStackChanged()V,,,,,,,,,,,,,,,,,,,
Landroid/app/UiAutomationConnection;-><init>()V,,,,,,,,,,,,,,,,,,,
Landroid/app/usage/IUsageStatsManager;->isAppInactive(Ljava/lang/String;ILjava/lang/String;)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/usage/IUsageStatsManager;->queryConfigurationStats(IJJLjava/lang/String;)Landroid/content/pm/ParceledListSlice;,,,,,,,,,,,,,,,,,,,
Landroid/app/usage/IUsageStatsManager;->queryUsageStats(IJJLjava/lang/String;)Landroid/content/pm/ParceledListSlice;,,,,,,,,,,,,,,,,,,,
Landroid/app/usage/IUsageStatsManager;->setAppInactive(Ljava/lang/String;ZI)V,,,,,,,,,,,,,,,,,,,
Landroid/app/usage/NetworkStatsManager;-><init>(Landroid/content/Context;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/usage/NetworkStatsManager;->setPollForce(Z)V,,,,,,,,,,,,,,,,,,,
Landroid/app/VrManager;->mService:Landroid/service/vr/IVrManager;,,,,,,,,,,,,,,,,,,,
Landroid/app/WallpaperManager;->openDefaultWallpaper(Landroid/content/Context;I)Ljava/io/InputStream;,,,,,,,,,,,,,,,,,,,
Landroid/appwidget/AppWidgetHost;->HANDLE_VIEW_DATA_CHANGED:I,,,,,,,,,,,,,,,,,,,
Landroid/appwidget/AppWidgetHost;-><init>(Landroid/content/Context;ILandroid/widget/RemoteViews$OnClickHandler;Landroid/os/Looper;)V,,,,,,,,,,,,,,,,,,,
Landroid/appwidget/AppWidgetHostView;->updateAppWidgetSize(Landroid/os/Bundle;IIIIZ)V,,,,,,,,,,,,,,,,,,,
Landroid/appwidget/AppWidgetManager;->bindAppWidgetId(ILandroid/content/ComponentName;Landroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/appwidget/AppWidgetManager;->bindRemoteViewsService(Landroid/content/Context;ILandroid/content/Intent;Landroid/app/IServiceConnection;I)Z,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->ACTION_ACTIVE_DEVICE_CHANGED:Ljava/lang/String;,是,小爱同学app的蓝牙设备模块有使用。用来切换使用中的蓝牙设备,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->ACTION_CODEC_CONFIG_CHANGED:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->disableOptionalCodecs(Landroid/bluetooth/BluetoothDevice;)V,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->enableOptionalCodecs(Landroid/bluetooth/BluetoothDevice;)V,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->getActiveDevice()Landroid/bluetooth/BluetoothDevice;,是,小爱同学app的蓝牙设备模块有使用。用来切换使用中的蓝牙设备,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->getCodecStatus(Landroid/bluetooth/BluetoothDevice;)Landroid/bluetooth/BluetoothCodecStatus;,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->isOptionalCodecsEnabled(Landroid/bluetooth/BluetoothDevice;)I,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->isOptionalCodecsSupported(Landroid/bluetooth/BluetoothDevice;)I,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->setActiveDevice(Landroid/bluetooth/BluetoothDevice;)Z,是,小爱同学app的蓝牙设备模块有使用。用来切换使用中的蓝牙设备,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->setCodecConfigPreference(Landroid/bluetooth/BluetoothDevice;Landroid/bluetooth/BluetoothCodecConfig;)V,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dp;->setOptionalCodecsEnabled(Landroid/bluetooth/BluetoothDevice;I)V,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothA2dpSink;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z,,,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothAdapter;->disable(Z)Z,是,Used by ShareMe app to disable Bluetooth after transfer is completed,,,,,,,,,,,,,,,,,
Landroid/bluetooth/BluetoothAdapter;->factoryReset()Z,,,,,,,,,,,,,,,,,,,
